category,channel_name,description,created_at
Search,Organic Search,Organic search is all about showing up on search engine results pages. Leverage using SEO,2019-01-01T07:16:37
Search,Paid Search,"pay-per-click, is advertising on search engines. Plus, with platforms like Google Ads, we can place ads directly in search results and even on partner websites.",2019-01-01T07:16:37
Social Media,Organic Social Media,"for boosting brand awareness, shaping company’s personality, and sharing content published in social media, like blog posts or videos.",2019-01-01T07:16:37
Social Media,Paid Social Media,"For example, sponsored posts on Facebook, X, or Instagram to get content seen by more people (targeted audiences).",2019-01-01T07:16:37
Massaging,Email,"Email marketing, Whether it’s a birthday wish or a valuable promo, email is a great way to connect with our audience. It’s a direct line to their inbox, bypassing the noise of social media and search engines.",2019-01-01T07:16:37
Massaging,Whatsapp,direct marketing,2019-01-01T07:16:37
Customer,Refferals,Referral marketing leverages the trust of personal recommendations to drive new customer acquisition.,2019-01-01T07:16:37
Events,Conferences,"conferences, webinars, and trade shows to connect with potential customers.",2019-01-01T07:16:37
Events,Webminars,,2019-01-01T07:16:37
Traditional Ad,TV,,2019-01-01T07:16:37
Traditional Ad,Radio,,2019-01-01T07:16:37
Traditional Ad,Print Media,,2019-01-01T07:16:37
